Name,State,Notes,User,Tags,Created,Runtime,Sweep,adam_epsilon,cache_dir,config_name,data_pkl_dir,delete_old_checkpoints,do_eval,do_finetune,do_lower_case,do_train,doc_stride,eval_all_checkpoints,evaluate_during_training,fp16,fp16_opt_level,gradient_accumulation_steps,hf_name,lang_id,learning_rate,local_rank,logging_steps,max_answer_length,max_grad_norm,max_query_length,max_seq_length,max_steps,model_name_or_path,model_type,n_best_size,no_cuda,null_score_diff_threshold,num_train_epochs,output_dir,overwrite_cache,overwrite_data_cache,overwrite_output_dir,per_gpu_eval_batch_size,per_gpu_train_batch_size,predict_file,push_to_huggingface_every_epoch,push_to_huggingface_initial_load,resume_training,run_name,save_steps,seed,server_ip,server_port,skip_dpr_check,split_data_into_batches_and_save,threads,tokenizer_name,train_file,verbose_logging,version_2_with_negative,warmup_steps,weight_decay,eval.Results.HasAns_exact,eval.Results.HasAns_f1,eval.Results.HasAns_total,eval.Results.best_exact,eval.Results.best_exact_thresh,eval.Results.best_f1,eval.Results.best_f1_thresh,eval.Results.checkpoint,eval.Results.exact,eval.Results.f1,eval.Results.total,eval.result.HasAns_exact,eval.result.HasAns_f1,eval.result.HasAns_total,eval.result.best_exact,eval.result.best_exact_thresh,eval.result.best_f1,eval.result.best_f1_thresh,eval.result.checkpoint,eval.result.exact,eval.result.f1,eval.result.total,train.global_step,train.loss,train.tr_loss
trilingual_1_finetune_tsquad_dev_lang_arabic,finished,-,sgowriraj,,2022-11-15T21:26:42.000Z,45,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-arabic-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_arabic,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,63.95222584,79.86945324,921,63.95222584,0,79.86945324,0,./trilingual/1,63.95222584,79.86945324,921,,,,,,,,,,,,,,
trilingual_1_finetune_tsquad_dev_lang_bengali,finished,-,sgowriraj,,2022-11-15T21:27:33.000Z,26,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-bengali-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_bengali,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,47.78761062,64.75998927,113,47.78761062,0,64.75998927,0,./trilingual/1,47.78761062,64.75998927,113,,,,,,,,,,,,,,
trilingual_1_finetune_tsquad_dev_lang_english,finished,-,sgowriraj,,2022-11-15T21:23:46.000Z,32,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-english-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_english,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,68.86363636,77.30750834,440,68.86363636,0,77.30750834,0,./trilingual/1,68.86363636,77.30750834,440,,,,,,,,,,,,,,
trilingual_1_finetune_tsquad_dev_lang_finnish,finished,-,sgowriraj,,2022-11-15T21:29:18.000Z,40,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-finnish-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_finnish,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,61.76470588,74.46977257,782,61.76470588,0,74.46977257,0,./trilingual/1,61.76470588,74.46977257,782,,,,,,,,,,,,,,
trilingual_1_finetune_tsquad_dev_lang_indonesian,finished,-,sgowriraj,,2022-11-15T21:24:24.000Z,36,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-indonesian-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_indonesian,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,73.58156028,83.63090623,564,73.58156028,0,83.63090623,0,./trilingual/1,73.58156028,83.63090623,564,,,,,,,,,,,,,,
trilingual_1_finetune_tsquad_dev_lang_korean,finished,-,sgowriraj,,2022-11-15T21:28:44.000Z,27,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-korean-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_korean,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,14.44043321,33.47814917,277,14.44043321,0,33.47814917,0,./trilingual/1,14.44043321,33.47814917,277,,,,,,,,,,,,,,
trilingual_1_finetune_tsquad_dev_lang_russian,finished,-,sgowriraj,,2022-11-15T21:25:07.000Z,44,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-russian-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_russian,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,47.66009852,68.33117552,812,47.66009852,0,68.33117552,0,./trilingual/1,47.66009852,68.33117552,812,,,,,,,,,,,,,,
trilingual_1_finetune_tsquad_dev_lang_swahili,finished,-,sgowriraj,,2022-11-15T21:28:05.000Z,32,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-swahili-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_swahili,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,75.5511022,83.11328414,499,75.5511022,0,83.11328414,0,./trilingual/1,75.5511022,83.11328414,499,,,,,,,,,,,,,,
trilingual_1_finetune_tsquad_dev_lang_telugu,finished,-,sgowriraj,,2022-11-15T21:25:57.000Z,38,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/1,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-telugu-v1.1-dev.json,FALSE,FALSE,,trilingual_1_finetune_tsquad_dev_lang_telugu,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,40.80717489,49.63090463,669,40.80717489,0,49.63090463,0,./trilingual/1,40.80717489,49.63090463,669,,,,,,,,,,,,,,
trilingual_2_finetune_tsquad_dev_lang_arabic,finished,-,sgowriraj,,2022-11-15T21:39:12.000Z,44,,1.00E-08,./cache_dir/,,home/sgowrira/EMQA2/EMQA/pkl4,-1,TRUE,FALSE,TRUE,FALSE,128,FALSE,FALSE,FALSE,O1,1,,0,0.00003,-1,500,30,1,64,384,-1,./trilingual/2,bert,20,FALSE,0,3,./eval_cache_output/,,TRUE,TRUE,24,8,./TyDiQA_dev_data/tydiqa-goldp-arabic-v1.1-dev.json,FALSE,FALSE,,trilingual_2_finetune_tsquad_dev_lang_arabic,500,42,,,FALSE,FALSE,1,,,FALSE,FALSE,0,0,58.74049946,75.77610971,921,58.74049946,0,75.77610971,0,./trilingual/2,58.74049946,75.77610971,921,,,,,,,,,,,,,,
