"Name","State","Notes","User","Tags","Created","Runtime","Sweep","adam_epsilon","cache_dir","config_name","data_pkl_dir","delete_old_checkpoints","do_eval","do_finetune","do_lower_case","do_train","doc_stride","eval_all_checkpoints","evaluate_during_training","fp16","fp16_opt_level","gradient_accumulation_steps","hf_name","lang_id","learning_rate","local_rank","logging_steps","max_answer_length","max_grad_norm","max_query_length","max_seq_length","max_steps","model_name_or_path","model_type","n_best_size","no_cuda","null_score_diff_threshold","num_train_epochs","output_dir","overwrite_cache","overwrite_data_cache","overwrite_output_dir","per_gpu_eval_batch_size","per_gpu_train_batch_size","predict_file","push_to_huggingface_every_epoch","push_to_huggingface_initial_load","resume_training","run_name","save_steps","seed","server_ip","server_port","skip_dpr_check","split_data_into_batches_and_save","threads","tokenizer_name","train_file","verbose_logging","version_2_with_negative","warmup_steps","weight_decay","eval.Results.HasAns_exact","eval.Results.HasAns_f1","eval.Results.HasAns_total","eval.Results.best_exact","eval.Results.best_exact_thresh","eval.Results.best_f1","eval.Results.best_f1_thresh","eval.Results.checkpoint","eval.Results.exact","eval.Results.f1","eval.Results.total","eval.result.HasAns_exact","eval.result.HasAns_f1","eval.result.HasAns_total","eval.result.best_exact","eval.result.best_exact_thresh","eval.result.best_f1","eval.result.best_f1_thresh","eval.result.checkpoint","eval.result.exact","eval.result.f1","eval.result.total","train.global_step","train.loss","train.tr_loss"
"monolingual_arabic_finetune_tsquad_dev_lang_arabic","finished","-","sgowriraj","","2022-11-15T18:42:55.000Z","45","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-arabic-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_arabic","500","42","","","false","false","1","","","false","false","0","0","66.66666666666667","81.3126545225312","921","66.66666666666667","0","81.3126545225312","0","./monolingual/fineTune_cache_output_arabic","66.66666666666667","81.3126545225312","921","","","","","","","","","","","","","",""
"monolingual_arabic_finetune_tsquad_dev_lang_bengali","finished","-","sgowriraj","","2022-11-15T18:43:47.000Z","26","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-bengali-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_bengali","500","42","","","false","false","1","","","false","false","0","0","47.78761061946903","64.34879280012024","113","47.78761061946903","0","64.34879280012024","0","./monolingual/fineTune_cache_output_arabic","47.78761061946903","64.34879280012024","113","","","","","","","","","","","","","",""
"monolingual_arabic_finetune_tsquad_dev_lang_english","finished","-","sgowriraj","","2022-11-15T18:39:48.000Z","32","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-english-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_english","500","42","","","false","false","1","","","false","false","0","0","68.86363636363636","78.76619410365147","440","68.86363636363636","0","78.76619410365147","0","./monolingual/fineTune_cache_output_arabic","68.86363636363636","78.76619410365147","440","","","","","","","","","","","","","",""
"monolingual_arabic_finetune_tsquad_dev_lang_finnish","finished","-","sgowriraj","","2022-11-15T18:45:46.000Z","41","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-finnish-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_finnish","500","42","","","false","false","1","","","false","false","0","0","61.25319693094629","74.83351468579379","782","61.25319693094629","0","74.83351468579379","0","./monolingual/fineTune_cache_output_arabic","61.25319693094629","74.83351468579379","782","","","","","","","","","","","","","",""
"monolingual_arabic_finetune_tsquad_dev_lang_indonesian","finished","-","sgowriraj","","2022-11-15T18:40:28.000Z","37","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-indonesian-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_indonesian","500","42","","","false","false","1","","","false","false","0","0","65.78014184397163","78.93340161605653","564","65.78014184397163","0","78.93340161605653","0","./monolingual/fineTune_cache_output_arabic","65.78014184397163","78.93340161605653","564","","","","","","","","","","","","","",""
"monolingual_arabic_finetune_tsquad_dev_lang_korean","finished","-","sgowriraj","","2022-11-15T18:45:04.000Z","32","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-korean-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_korean","500","42","","","false","false","1","","","false","false","0","0","15.16245487364621","33.76183881612697","277","15.16245487364621","0","33.76183881612697","0","./monolingual/fineTune_cache_output_arabic","15.16245487364621","33.76183881612697","277","","","","","","","","","","","","","",""
"monolingual_arabic_finetune_tsquad_dev_lang_russian","finished","-","sgowriraj","","2022-11-15T18:41:12.000Z","46","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-russian-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_russian","500","42","","","false","false","1","","","false","false","0","0","45.320197044334975","66.98326823645154","812","45.320197044334975","0","66.98326823645154","0","./monolingual/fineTune_cache_output_arabic","45.320197044334975","66.98326823645154","812","","","","","","","","","","","","","",""
"monolingual_arabic_finetune_tsquad_dev_lang_swahili","finished","-","sgowriraj","","2022-11-15T18:44:21.000Z","36","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-swahili-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_swahili","500","42","","","false","false","1","","","false","false","0","0","63.52705410821643","75.5745992434893","499","63.52705410821643","0","75.5745992434893","0","./monolingual/fineTune_cache_output_arabic","63.52705410821643","75.5745992434893","499","","","","","","","","","","","","","",""
"monolingual_arabic_finetune_tsquad_dev_lang_telugu","finished","-","sgowriraj","","2022-11-15T18:42:09.000Z","39","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_arabic","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-telugu-v1.1-dev.json","false","false","","monolingual_arabic_finetune_tsquad_dev_lang_telugu","500","42","","","false","false","1","","","false","false","0","0","34.67862481315396","44.2711783353234","669","34.67862481315396","0","44.2711783353234","0","./monolingual/fineTune_cache_output_arabic","34.67862481315396","44.2711783353234","669","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_arabic","finished","-","sgowriraj","","2022-11-15T18:49:41.000Z","51","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-arabic-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_arabic","500","42","","","false","false","1","","","false","false","0","0","49.185667752442995","66.51039403619394","921","49.185667752442995","0","66.51039403619394","0","./monolingual/fineTune_cache_output_bengali","49.185667752442995","66.51039403619394","921","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_bengali","finished","-","sgowriraj","","2022-11-15T18:50:40.000Z","28","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-bengali-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_bengali","500","42","","","false","false","1","","","false","false","0","0","68.14159292035399","78.93894699204434","113","68.14159292035399","0","78.93894699204434","0","./monolingual/fineTune_cache_output_bengali","68.14159292035399","78.93894699204434","113","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_english","finished","-","sgowriraj","","2022-11-15T18:46:35.000Z","32","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-english-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_english","500","42","","","false","false","1","","","false","false","0","0","65","75.66887581291041","440","65","0","75.66887581291041","0","./monolingual/fineTune_cache_output_bengali","65","75.66887581291041","440","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_finnish","finished","-","sgowriraj","","2022-11-15T18:52:33.000Z","41","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-finnish-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_finnish","500","42","","","false","false","1","","","false","false","0","0","58.95140664961637","71.7383266709496","782","58.95140664961637","0","71.7383266709496","0","./monolingual/fineTune_cache_output_bengali","58.95140664961637","71.7383266709496","782","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_indonesian","finished","-","sgowriraj","","2022-11-15T18:47:15.000Z","37","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-indonesian-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_indonesian","500","42","","","false","false","1","","","false","false","0","0","57.97872340425532","72.26099710810273","564","57.97872340425532","0","72.26099710810273","0","./monolingual/fineTune_cache_output_bengali","57.97872340425532","72.26099710810273","564","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_korean","finished","-","sgowriraj","","2022-11-15T18:51:55.000Z","30","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-korean-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_korean","500","42","","","false","false","1","","","false","false","0","0","12.99638989169675","30.68118574313918","277","12.99638989169675","0","30.68118574313918","0","./monolingual/fineTune_cache_output_bengali","12.99638989169675","30.68118574313918","277","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_russian","finished","-","sgowriraj","","2022-11-15T18:48:02.000Z","44","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-russian-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_russian","500","42","","","false","false","1","","","false","false","0","0","40.27093596059113","66.78636724377779","812","40.27093596059113","0","66.78636724377779","0","./monolingual/fineTune_cache_output_bengali","40.27093596059113","66.78636724377779","812","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_swahili","finished","-","sgowriraj","","2022-11-15T18:51:15.000Z","32","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-swahili-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_swahili","500","42","","","false","false","1","","","false","false","0","0","67.13426853707415","77.04464214776863","499","67.13426853707415","0","77.04464214776863","0","./monolingual/fineTune_cache_output_bengali","67.13426853707415","77.04464214776863","499","","","","","","","","","","","","","",""
"monolingual_bengali_finetune_tsquad_dev_lang_telugu","finished","-","sgowriraj","","2022-11-15T18:48:53.000Z","40","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_bengali","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-telugu-v1.1-dev.json","false","false","","monolingual_bengali_finetune_tsquad_dev_lang_telugu","500","42","","","false","false","1","","","false","false","0","0","40.657698056801195","50.597309848430925","669","40.657698056801195","0","50.597309848430925","0","./monolingual/fineTune_cache_output_bengali","40.657698056801195","50.597309848430925","669","","","","","","","","","","","","","",""
"monolingual_english_finetune_tsquad_dev_lang_arabic","finished","-","sgowriraj","","2022-11-15T19:16:31.000Z","45","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_english","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-arabic-v1.1-dev.json","false","false","","monolingual_english_finetune_tsquad_dev_lang_arabic","500","42","","","false","false","1","","","false","false","0","0","48.85993485342019","70.34803389768862","921","48.85993485342019","0","70.34803389768862","0","./monolingual/fineTune_cache_output_english","48.85993485342019","70.34803389768862","921","","","","","","","","","","","","","",""
"monolingual_english_finetune_tsquad_dev_lang_bengali","finished","-","sgowriraj","","2022-11-15T19:17:24.000Z","25","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_english","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-bengali-v1.1-dev.json","false","false","","monolingual_english_finetune_tsquad_dev_lang_bengali","500","42","","","false","false","1","","","false","false","0","0","38.93805309734513","55.95275913859983","113","38.93805309734513","0","55.95275913859983","0","./monolingual/fineTune_cache_output_english","38.93805309734513","55.95275913859983","113","","","","","","","","","","","","","",""
"monolingual_english_finetune_tsquad_dev_lang_english","finished","-","sgowriraj","","2022-11-15T19:13:29.000Z","33","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl4","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./monolingual/fineTune_cache_output_english","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-english-v1.1-dev.json","false","false","","monolingual_english_finetune_tsquad_dev_lang_english","500","42","","","false","false","1","","","false","false","0","0","67.04545454545455","76.16974295246857","440","67.04545454545455","0","76.16974295246857","0","./monolingual/fineTune_cache_output_english","67.04545454545455","76.16974295246857","440","","","","","","","","","","","","","",""
